name,r1_1_1,r1_1_2,r1_1_3,r1_1_4,r1_1_5,r1_2_1,r1_2_2,r1_2_3,r1_2_4,r1_2_5,FoldCh
C1ra,27.33339,27.38837,27.2141,27.46505,26.75073,26.52145,26.72442,26.93876,26.53095,25.77407,-0.732398
C1s2,22.12237,20.51316,20.98475,21.74061,21.62475,25.22088,21.89093,24.39992,23.39077,19.98245,1.579862
Gc,31.66953,31.63629,31.80085,31.52706,31.47663,31.94122,31.82589,31.96051,31.72379,31.90537,0.249284
Serpina3m,27.98,23.74684,23.72307,29.65915,21.97148,25.81225,26.0712,26.53909,26.99873,26.15157,0.89846
Cfh,33.07823,32.98111,33.12027,32.80394,32.79877,32.51289,32.66833,33.18261,32.88815,32.84024,-0.13802
Crp,27.46443,26.82687,27.05009,26.72546,26.80759,26.7599,26.75735,26.86219,26.23301,26.59363,-0.333672
Hpx,34.18305,33.60631,33.6345,33.77814,33.70934,33.09206,33.42029,34.23984,33.64495,33.64141,-0.174558
Ttr,27.32088,28.17241,27.52388,27.54185,27.36561,28.27658,28.47773,29.25138,28.73847,28.93222,1.15035
Cp,33.97937,33.72456,33.78819,33.43104,33.73782,33.24147,33.27517,34.1254,33.54248,33.52449,-0.190394
Serpinf2,31.71473,31.64972,30.88008,30.96231,31.23106,31.29576,31.29685,31.94632,31.00283,30.4747,-0.084288
Apoe,31.79977,31.20833,31.3294,31.18689,31.32684,31.5612,31.90293,32.51817,32.19569,32.10986,0.687324
Serpinc1,30.22527,29.92337,29.93677,29.51032,29.49861,29.94559,30.12102,30.87708,30.01079,30.10124,0.392276
Hp,31.38499,29.79231,30.09144,30.5389,30.69661,20.05073,21.77439,22.55377,24.28741,20.59122,-8.649346
Klkb1,30.16531,29.95685,30.10375,29.82139,29.63461,30.05297,30.22665,31.07865,30.11843,30.25305,0.409568
Apoa1,33.69737,33.70234,33.716,33.27184,33.39624,34.98282,35.08243,35.21737,35.07631,35.1905,1.553128
Lrp1,24.87727,25.66253,24.79476,24.44727,24.51887,24.25285,24.28609,24.54451,24.38337,24.74525,-0.417726
