name,2_1_1,2_1_2,2_1_3,2_1_4,2_1_5,2_7_1,2_7_2,2_7_3,2_7_4,FC_7
Serpina3n,-0.494607743,-0.458253038,-0.589812324,-0.294197871,-0.046051306,0.579777632,0.503443844,0.554703685,0.471588188,0.731646394
Serpina6,-1.030048869,-1.219877328,-1.337414309,-1.51087787,-1.020645303,0.620947997,0.569882179,0.582670364,0.581143203,1.076807882
Serpinc1,0.315250946,0.32463855,0.300838614,0.384746973,0.476796199,0.89580437,0.88291445,0.883385998,0.84177554,0.90131126
Serpind1,-0.078185229,-0.223488933,-0.233434553,-0.209253706,-0.249465835,0.724283864,0.641958156,0.576482038,0.564077765,0.793171617
Serpinf1,-0.690100533,-0.69784728,-0.910675149,-0.559644945,-0.518665591,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.205612507
Serpinf2,0.236162799,0.25427491,0.215395126,0.581433419,0.319463717,0.746946456,0.757492634,0.703943049,0.744884211,0.753756373
Serping1,-0.833689942,-0.624545153,-0.821541303,-0.536465152,-0.253719416,0.724398527,0.416456731,0.386741344,0.445777757,0.769947795
Sh3d21,0.658790898,0.733995995,0.412802139,0.507426851,1.074357638,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.641125318
Spp2,0.050669481,0.203213455,0.197850976,-0.007994904,0.131853646,0.23001707,0.53086368,0.390523375,0.572513088,0.462271969
Tcn2,-0.835302928,-0.88930806,-1.121134292,-0.891321074,-0.300094404,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.16497203
Tfrc,-0.281670335,-0.332189331,-0.355523465,-0.133864914,-0.307606047,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.330580611
Thbs1,-0.430116854,-0.139505932,-0.569697424,-0.262248969,-1.586331084,0.890103667,0.787080959,0.420899907,0.525189089,0.961291517
Thbs4,-0.077472093,-0.160935896,0.45535268,-0.695603687,-0.798592182,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.332540621
Tns4,0.264504145,0.35215538,0.296438989,0.645997295,-0.550036346,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.482061891
Ttr,0.014667752,0.095722559,1.101002393,-0.318639695,-0.109533501,0.510257096,0.666655039,0.616745657,0.590808647,0.646756314
Vcp,-1.404183678,-0.647239717,-0.821008674,-1.388543548,-0.392091787,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.123218738
Vps4a,0.902375028,0.628407245,0.671013109,0.633306877,0.426165248,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.629087795
Vtn,0.836667916,0.554651227,0.492566061,0.380197153,0.447259294,0.736880947,0.756038866,0.767663235,0.756760163,0.702872061
Vwf,0.734964262,1.041259391,0.958230624,0.762930427,0.664737315,0.310792575,0.23676187,0.194972985,0.344991996,0.050362293
