name,r1_1_1,r1_1_2,r1_1_3,r1_1_4,r1_1_5,r1_2_1,r1_2_2,r1_2_3,r1_2_4,r1_2_5,FC_r1_2,r2_1_1,,,,,,,,,
C9,0.470637046,0.42378974,0.431039547,0.44753797,0.452860318,0.317072954,0.34559611,0.412336974,0.355227291,0.320539725,-0.651635307,0.708854334,,,,,,,,,
Apoe,0.747770965,0.673876149,0.691409129,0.685114065,0.716622865,0.709238953,0.724316656,0.805925195,0.783411761,0.762755942,0.42697248,0.713285027,,,,,,,,,
Serpina1a,0.431637635,0.435282515,0.331036044,0.366544781,0.323602208,0.444939238,0.430165501,0.523963854,0.508555806,0.477215545,0.730236709,0.718565939,,,,,,,,,
Ahsg,0.807903653,0.760752658,0.810576467,0.726439943,0.749718332,0.747214416,0.732820176,0.804078911,0.844899674,0.798551166,0.146516666,0.727055587,,,,,,,,,
Hba,0.951692222,0.885281517,0.878147296,0.89548196,0.922710331,1.101925059,1.075424179,1.129226761,1.092888198,1.072551564,1.390960859,0.764467809,,,,,,,,,
H2-Q10,0.649745215,0.596423563,0.630286112,0.596835984,0.596514821,0.707346728,0.648559636,0.73019244,0.706230042,0.686975104,0.619052454,0.79309023,,,,,,,,,
C8b,0.905702817,0.906278522,0.898742846,0.910485916,0.915597165,0.816457358,0.810810034,0.840623559,0.798916593,0.806743655,-0.608755416,0.815411976,,,,,,,,,
Itih1,0.738734099,0.688661498,0.732275419,0.735134938,0.737514834,0.70136613,0.678227021,0.74780672,0.75853047,0.741940474,0.035467725,0.818788997,,,,,,,,,
Serpina3k,0.815789866,0.811848089,0.823963765,0.831807038,0.837270502,0.89029988,0.882486175,0.91910882,0.874062709,0.89907375,0.538937944,0.822286582,,,,,,,,,
Psma7,0.326223149,0.334034939,0.313477157,0.227957659,0.280411747,0.193342095,0.163689391,0.36800108,0.321279002,0.284386877,-0.198158852,0.841501318,,,,,,,,,
Gsn,0.775080299,0.860814755,0.862755087,0.903245851,0.862181288,0.799132316,0.779694595,0.766552836,0.786995946,0.760252576,-0.480574003,0.843506934,,,,,,,,,
